validTimeLocal,validTimeUtc,dayOrNight,cloudCover,dayOfWeek,precipChance,precipType,pressureMeanSeaLevel,qpf,qpfSnow,relativeHumidity,temperature,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureWindChill,uvDescription,uvIndex,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseShort,wxSeverity
2026-03-01T20:00:00+0100,1772391600,N,19,Sunday,1,rain,1017.7,0,0,56,12,4,11,12,11,Low,0,16,163,SSE,,9,Clear,Clear,1
2026-03-01T21:00:00+0100,1772395200,N,9,Sunday,1,rain,1018.1,0,0,59,11,3,10,11,10,Low,0,16,153,SSE,,10,Clear,Clear,1
2026-03-01T22:00:00+0100,1772398800,N,20,Sunday,1,rain,1018.4,0,0,64,10,4,9,10,9,Low,0,16,165,SSE,,9,Mostly Clear,M Clear,1
2026-03-01T23:00:00+0100,1772402400,N,34,Sunday,2,rain,1018.3,0,0,70,9,4,9,9,9,Low,0,16,167,SSE,,6,Partly Cloudy,P Cloudy,1
2026-03-02T00:00:00+0100,1772406000,N,32,Monday,2,rain,1018,0,0,74,8,4,8,8,8,Low,0,16,165,SSE,,5,Partly Cloudy,P Cloudy,1
2026-03-02T01:00:00+0100,1772409600,N,24,Monday,2,rain,1017.6,0,0,78,7,4,7,7,7,Low,0,16,161,SSE,,4,Mostly Clear,M Clear,1
2026-03-02T02:00:00+0100,1772413200,N,7,Monday,2,rain,1017.1,0,0,79,7,4,7,7,7,Low,0,16,153,SSE,,4,Clear,Clear,1
2026-03-02T03:00:00+0100,1772416800,N,6,Monday,5,rain,1016.6,0,0,79,7,3,6,7,6,Low,0,16,149,SSE,,5,Clear,Clear,1
2026-03-02T04:00:00+0100,1772420400,N,10,Monday,6,rain,1016.1,0,0,81,6,3,5,6,5,Low,0,16,142,SE,,5,Clear,Clear,1
2026-03-02T05:00:00+0100,1772424000,N,7,Monday,6,rain,1015.77,0,0,84,6,3,5,6,5,Low,0,16,140,SE,,5,Clear,Clear,1
2026-03-02T06:00:00+0100,1772427600,N,10,Monday,6,rain,1015.5,0,0,87,5,3,4,5,4,Low,0,16,141,SE,,5,Clear,Clear,1
2026-03-02T07:00:00+0100,1772431200,N,18,Monday,6,rain,1015.4,0,0,87,5,3,4,5,4,Low,0,16,144,SE,,5,Clear,Clear,1
2026-03-02T08:00:00+0100,1772434800,D,19,Monday,7,rain,1015.4,0,0,87,5,3,4,5,4,Low,0,16,143,SE,,5,Sunny,Sunny,1
2026-03-02T09:00:00+0100,1772438400,D,15,Monday,5,rain,1015.5,0,0,81,7,4,7,7,7,Low,0,16,139,SE,,4,Sunny,Sunny,1
2026-03-02T10:00:00+0100,1772442000,D,20,Monday,3,rain,1015.21,0,0,75,9,4,8,9,8,Low,1,16,137,SE,,5,Mostly Sunny,M Sunny,1
2026-03-02T11:00:00+0100,1772445600,D,16,Monday,1,rain,1014.41,0,0,66,11,5,10,11,10,Low,2,16,145,SE,,9,Sunny,Sunny,1
